date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-06-16,Kyrgyzstan,1.0,5.0,96.0,24.0,1225.0,1,72.0,0.0,0
2023-06-16,North Macedonia,2.0,3.0,65.0,30.0,1363.0,1,35.0,0.0,0
2023-06-16,Latvia,2.0,3.0,132.0,43.0,1111.0,1,89.0,0.0,0
2023-06-16,Finland,2.0,0.0,56.0,59.0,1405.0,0,-3.0,0.05084745762711865,3
2023-06-16,Wales,2.0,4.0,26.0,97.0,1539.0,1,-71.0,0.0,0
2023-06-16,Andorra,1.0,2.0,153.0,12.0,1031.0,1,141.0,0.0,0
2023-06-16,Belarus,1.0,2.0,98.0,78.0,1210.0,1,20.0,0.0,0
2023-06-16,Kosovo,0.0,0.0,107.0,46.0,1186.0,2,61.0,0.021739130434782608,1
2023-06-16,Denmark,1.0,0.0,19.0,62.0,1595.0,0,-43.0,0.04838709677419355,3
2023-06-16,San Marino,0.0,3.0,211.0,112.0,759.0,1,99.0,0.0,0
2023-06-17,Brazil,4.0,1.0,3.0,79.0,1834.0,0,-76.0,0.0379746835443038,3
2023-06-17,Guyana,1.0,1.0,170.0,175.0,976.0,2,-5.0,0.005714285714285714,1
2023-06-17,Norway,1.0,2.0,44.0,36.0,1464.0,1,8.0,0.0,0
2023-06-17,Ecuador,1.0,0.0,41.0,83.0,1478.0,0,-42.0,0.03614457831325301,3
2023-06-17,Lithuania,1.0,1.0,146.0,76.0,1069.0,2,70.0,0.013157894736842105,1
2023-06-17,Cyprus,1.0,2.0,111.0,77.0,1179.0,1,34.0,0.0,0
2023-06-17,Faroe Islands,0.0,3.0,125.0,38.0,1139.0,1,87.0,0.0,0
2023-06-17,Albania,2.0,0.0,68.0,171.0,1345.0,0,-103.0,0.017543859649122806,3
2023-06-17,Belgium,1.0,1.0,4.0,32.0,1793.0,2,-28.0,0.03125,1
2023-06-17,Luxembourg,2.0,0.0,91.0,199.0,1246.0,0,-108.0,0.01507537688442211,3
2023-06-17,Suriname,0.0,0.0,141.0,166.0,1076.0,2,-25.0,0.006024096385542169,1
2023-06-17,Montenegro,0.0,0.0,69.0,33.0,1343.0,2,36.0,0.030303030303030304,1
2023-06-17,Botswana,1.0,0.0,152.0,121.0,1037.0,0,31.0,0.024793388429752067,3
2023-06-17,Iceland,1.0,2.0,64.0,51.0,1369.0,1,13.0,0.0,0
2023-06-17,Azerbaijan,1.0,1.0,124.0,108.0,1142.0,2,16.0,0.009259259259259259,1
2023-06-17,Uzbekistan,5.0,1.0,74.0,109.0,1318.0,0,-35.0,0.027522935779816515,3
